Time,acc
7.25,0.145976904
7.255,0.037574612
7.26,-0.083438358
7.265,0.040161406
7.27,0.164888649
7.275,0.295611351
7.28,0.03273753
7.285,0.053727367
7.29,0.251648866
7.295,-0.055462646
7.3,-0.050046307
7.305,-0.14145974
7.31,-0.180888884
7.315,0.160488449
7.32,-0.267260091
7.325,0.032241791
7.33,0.115351544
7.335,-0.118533605
7.34,0.153933567
7.345,-0.269108342
7.35,-0.094993162
7.355,-0.084635048
7.36,-0.344671506
7.365,-0.074490063
7.37,-0.120227696
7.375,-0.146696714
7.38,0.200658268
7.385,-0.154402582
7.39,0.208743266
7.395,-0.117577253
7.4,0.045266135
7.405,-0.097410701
7.41,0.003000445
7.415,-0.223711553
7.42,0.140361602
7.425,-0.011769657
7.43,0.240605675
7.435,-0.003241637
7.44,0.335042006
7.445,0.035585178
7.45,0.37848307
7.455,-0.310427704
7.46,0.233255336
7.465,-0.046274321
7.47,0.066737085
7.475,-0.044531685
7.48,0.083943488
7.485,0.13917505
7.49,0.410844985
7.495,-0.32814377
7.5,0.332430349
7.505,-0.125064964
7.51,0.065217705
7.515,-0.230755243
7.52,-0.30265426
7.525,0.077309505
7.53,0.038379059
7.535,-0.302011301
7.54,0.107476897
7.545,-0.049371365
7.55,0.190096049
7.555,-0.238865033
7.56,-0.304117454
7.565,0.024215555
7.57,-0.113459351
7.575,-0.26237152
7.58,-0.247912882
7.585,0.109752383
7.59,0.140692694
7.595,0.014736149
7.6,-0.126883941
7.605,0.16378672
7.61,0.206002755
7.615,-0.159115731
7.62,-0.239406122
7.625,0.154589161
7.63,0.012599112
7.635,0.215139798
7.64,-0.215072262
7.645,0.315197504
7.65,0.448450728
7.655,-0.019696826
7.66,0.059461062
7.665,0.053232668
7.67,0.113844789
7.675,0.137756288
7.68,-0.420213486
7.685,0.182283405
7.69,0.236695409
7.695,-0.011670826
7.7,0.102782692
7.705,-0.091520837
7.71,0.315521968
7.715,-0.036754093
7.72,-0.329904279
7.725,-0.1406595
7.73,0.003321781
7.735,-0.174366674
7.74,-0.151357809
7.745,-0.213977549
7.75,0.251089932
7.755,-0.04734799
